blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2024-02-02,2024-02-02 19:33:23.000 UTC,0x53af79efe43af58188447b5c7e1bed5171a962a4f356fa3a2edc9e0eea4fc7e1,native,0x03e69946edc90b765b02b6d87a6a0da90bd8f0ff,0x0f49d570b55abc2c75a2e5ddeec806e78b2c8a87,Smart contract,Argent: BaseWallet,<nil>,<nil>,<nil>,<nil>,Argent,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.085271029,195.84453043517,unclassified transfer to Smart contract,Argent: BaseWallet
ethereum,2024-04-16,2024-04-16 16:59:59.000 UTC,0x44b00b5541e9f88cafc18dfc2cde19e75e4a0b9cc79cc4038a19750defcd58f4,erc20,0x5f0e7a424d306e9e310be4f5bb347216e473ae55,0xfd273ee3b47ccd20e08b54ad28e6afdef5912f40,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ETHFI,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,5.813,21.973139999999997,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-11-17,2023-11-17 09:59:35.000 UTC,0x5d76b9c0f9172cf11e6d83b32112b81795d8a4c9683e71509fde1246636e6003,erc20,0xba834b31833fcf1b3e7824e823ef97c2b747530d,0x6f20daeee7018a88a6a7d61cc6e7f2c39eb013bc,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,MATH,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,250000,21825.5,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-07-13,2024-07-13 02:09:35.000 UTC,0x03db52ab7be4a1587fcfe3dc92442683fa569e3ba0b9087ad0cf04ae5ba6f1f9,stablecoin,0x74303683ca47f5d5dc950ddaaa4e0812ae355db1,0xd135f860ce5deffc7ca0eb09c3cce00f045d4f58,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,7768.9,7774.144007499999,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-02-06,2023-02-06 20:15:11.000 UTC,0x9ee562d6c2b410333b134e5f85a36e95bd88ad426aa49922a0d060cc3b797066,stablecoin,0x2d380cd809db1beede36e74201ad8f71c0d36970,0xced5c39b104a6f4a75cbe912ffba68fd09546ff7,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1900,1900.2223,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-07-01,2024-07-01 18:44:23.000 UTC,0x57a57e21f6ad71827455fc3902f946673c2594aeeb8f8e469ecdefdc3a0b6aa7,stablecoin,0xb0992beef5a61af6da46b6e53e605b0daecfef24,0x376c82ae948c0ab769440b2ebec9d32defb89ef5,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3.684241,3.685265218998,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-12-23,2023-12-23 20:38:35.000 UTC,0x934644846b6fc9738c333839ad90019e62c70edacb1395aa846071c40433b1ea,stablecoin,0xa6f5cca10dd636c7f817b04e7193ae932a1ccb49,0x809e7de373abce35372584f8739deb644985f1f8,EOA,<nil>,<nil>,<nil>,<nil>,joino.eth,joino.eth,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1092,1094.58258,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-02-02,2024-02-02 19:33:23.000 UTC,0x53af79efe43af58188447b5c7e1bed5171a962a4f356fa3a2edc9e0eea4fc7e1,native,0x03e69946edc90b765b02b6d87a6a0da90bd8f0ff,0x7049747e615a1c5c22935d5790a664b7e65d9681,EOA,<nil>,<nil>,<nil>,<nil>,conservationcompanions.eth,conservationcompanions.eth,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.036091016,82.89131917767999,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-03-14,2023-03-14 05:23:23.000 UTC,0x241a4f755d2a3da1bfbc31f104e217528e791040e6477cb24d90161236f2ca15,native,0x9652e08cf4d545efe33f13da1648dd3e5fd10ce3,0x38442dd56780333d0f404a9e31fa828e45d3d35f,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.0015,2.5308450000000002,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-07-03,2023-07-03 05:18:23.000 UTC,0xf318473d29b85c9987eecdc006a2dac8dbeb89111e2c456c3d3b59a2f0d9cabb,native,0x0523ee42bb03e964d405aa968ce3957bb8461230,0xa50edadfe5c0c7ed3141d6a4559d522d4a531a6f,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.324,2580.25092,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-04-16,2024-04-16 16:59:59.000 UTC,0x44b00b5541e9f88cafc18dfc2cde19e75e4a0b9cc79cc4038a19750defcd58f4,erc20,0x5f0e7a424d306e9e310be4f5bb347216e473ae55,0xb2891da438482cbe6548c0e106dccfb86198ec4d,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ETHFI,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,5.813,21.973139999999997,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-05-31,2023-05-31 05:54:35.000 UTC,0x45c91b65d64e663653aacd5aa60daa5bb723a58fc7c264d818424b443e7cddf5,erc20,0x45050d6661b53f3cc97011c6beb60d8b158e8959,0xbf58a4077c71b5699bd19287eb76beaba5361bbf,Smart contract,Linkswap_v1: LinkswapPair,<nil>,<nil>,<nil>,<nil>,Linkswap_v1,Transfer,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0.15012873398512727,0.12350520455767278,DEX,Linkswap_v1: LinkswapPair
ethereum,2024-07-06,2024-07-06 11:55:11.000 UTC,0xc29302f01f74cc0198a3c3e240a0e3e8c34ad29889c1f8404f916565be7a80a0,erc20,0xf8bb149f9525875fa47b8cc632d368eb600faba3,0x1d693a4425bf7ed10fe7775e2b65b072019ffceb,EOA,<nil>,<nil>,<nil>,<nil>,bakeryfinance.eth,bakeryfinance.eth,Transfer,AST,0x27054b13b1b798b345b591a4d22e6562d47ea75a,54326.2125,4339.36054965,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-11-16,2023-11-16 04:53:11.000 UTC,0x52bf36e43d9c019dcbbc14164e4d94f0a08abbe90115fb4fa2ad10f1491094c2,stablecoin,0xb56330b0979d573f1ffd14983e3f328f3686bcc4,0x37d2cf41d3bb23192e35f49ee08a06b1b58d3962,Smart contract,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,24.06,24.064619519999997,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-03-07,2024-03-07 19:16:47.000 UTC,0xa4a3b28cf0c6f7cdae0bf67394b7ab02d9c17227ebd1acb46a55d478b4c24af0,stablecoin,0x46626758993c9048abf7a1c28585ffb0ab900aba,0x9571f51b11f86d878d9d512228fe7b266e807432,EOA,<nil>,<nil>,<nil>,<nil>,dyoradio.eth,dyoradio.eth,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,550,550.5631999999999,unclassified transfer to EOA,unclassified transfer to EOA
